assetId,authorId,name,category,publishDate,amount,price,description,imageURL
1,10,Lamptor nitens,Painting,2023-07-03,20,68240,Aliquam erat volutpat. In congue.,https://iili.io/JhG7XCN.png
2,5,Phoenus chilis,Digital,2023-04-20,3,10236,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",https://iili.io/JhGc1yu.png
3,9,Ceryle rudis,Photograph,2023-11-01,23,78476,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",https://iili.io/JhGA8TQ.png
4,1,Melurs unus,Painting,2023-08-15,27,92124,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",https://iili.io/JhG7hGI.png
5,8,Lutra canasis,Painting,2023-06-28,3,10236,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",https://iili.io/JhG7N3X.png
6,7,Nyctan violacea,Painting,2024-02-18,15,51180,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",https://iili.io/JhG7j4t.png
7,6,Alligator missis,Digital,2023-06-18,1,3412,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,https://iili.io/JhGc0ve.png
8,2,Stenella coba,Painting,2024-02-18,23,78476,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,https://iili.io/JhG7Oan.png
9,3,Cebus albifrons,Painting,2023-03-12,21,71652,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",https://iili.io/JhG7kyG.png
10,4,Cygnus atratus,Painting,2023-10-28,15,51180,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",https://iili.io/JhG7UZl.png
11,6,Eudro elegans,Photograph,2023-06-26,18,61416,Nulla nisl. Nunc nisl.,https://iili.io/JhGzYRp.png
12,7,Martes penti,Painting,2023-04-20,19,64828,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",https://iili.io/JhG7Sj4.png
13,3,Butorides striatus,Photograph,2023-10-10,8,27296,In quis justo. Maecenas rhoncus aliquam lacus.,https://iili.io/JhGz7JR.png
14,9,Varus albilaris,Photograph,2023-09-07,3,10236,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",https://iili.io/JhGzRUv.png
15,10,Buger calatus,Photograph,2023-11-27,14,47768,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",https://iili.io/JhGzufa.png
16,9,Merops nubicus,Digital,2024-02-06,24,81888,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",https://iili.io/JhGcla9.png
17,3,Redunca redunca,Digital,2023-03-31,22,75064,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,https://iili.io/JhGcGTb.png
18,10,Clis melanura,Painting,2023-10-14,23,78476,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",https://iili.io/JhG74GS.png
19,4,Leipoa ocellata,Photograph,2023-06-20,9,30708,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",https://iili.io/JhGznDP.png
20,6,Dendrona viduata,Painting,2024-01-24,3,10236,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",https://iili.io/JhG7667.png
21,7,Recustra avosta,Photograph,2023-05-21,18,61416,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",https://iili.io/JhGzqHQ.png
22,5,Fraconus leupus,Photograph,2023-07-01,23,78476,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",https://iili.io/JhGzFlj.png
23,1,Ardea cinerea,Painting,2023-09-09,7,23884,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,https://iili.io/JhG7sae.png
24,2,Tadorna tana,Digital,2023-04-20,8,27296,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",https://iili.io/JhGcVZx.png
25,8,Aniti artus,Photograph,2023-03-21,16,54592,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,https://iili.io/JhGz3Kb.png
26,3,Pogus strides,Photograph,2023-06-05,17,58004,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",https://iili.io/JhGzJVe.png
27,1,Hippo amhibus,Photograph,2024-02-05,13,44356,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,https://iili.io/JhGAUZB.png
28,4,Hertes javan,Photograph,2023-12-12,26,88712,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",https://iili.io/JhGxmR2.png
29,9,Morgana,Photograph,2023-04-07,27,92124,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",https://iili.io/JhGASjV.png
30,6,Tarandus,Digital,2023-09-03,14,47768,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,https://iili.io/JhGcMjj.png
